City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Belmonte,BR,-15.86,-38.88,77.0,78,75,10.29,broken clouds
198,Harper,LR,4.38,-7.72,78.06,85,92,5.37,overcast clouds
199,Ixtapa,MX,20.7,-105.2,89.6,70,40,10.29,scattered clouds
200,Vanavara,RU,60.34,102.28,24.46,98,100,2.95,overcast clouds
201,Beinamar,TD,8.67,15.38,78.87,51,67,2.35,broken clouds
202,Arman,RU,59.7,150.17,39.13,76,100,5.23,overcast clouds
203,Iwanai,JP,42.97,140.51,45.32,80,100,17.67,light rain
204,Chunskiy,RU,56.08,99.63,32.16,97,100,7.11,overcast clouds
205,Aklavik,CA,68.22,-135.01,17.6,92,75,5.82,broken clouds
206,Iquitos,PE,-3.75,-73.25,89.6,62,75,3.36,shower rain
207,Airai,TL,-8.93,125.41,61.09,100,6,0.98,clear sky
208,Glomfjord,NO,66.82,13.97,32.0,84,40,13.87,scattered clouds
209,Roald,NO,62.58,6.13,48.99,61,100,19.46,overcast clouds
210,Porterville,US,36.07,-119.02,75.99,33,1,6.93,clear sky
211,Georgetown,MY,5.41,100.34,78.8,88,20,3.36,few clouds
212,Kadipaten,ID,-8.14,113.22,76.42,86,76,2.51,broken clouds
213,Henties Bay,NA,-22.12,14.28,57.99,91,73,5.32,broken clouds
214,Sorong,ID,-0.88,131.25,78.93,83,100,2.33,overcast clouds
215,Los Llanos De Aridane,ES,28.66,-17.92,73.4,64,90,12.75,overcast clouds
216,Ketchikan,US,55.34,-131.65,44.6,24,1,5.82,clear sky
217,Ninotsminda,GE,41.26,43.59,42.8,53,62,2.24,broken clouds
218,Vestmannaeyjar,IS,63.44,-20.27,46.31,63,94,26.37,overcast clouds
219,Moose Factory,CA,51.26,-80.61,33.8,47,90,10.29,overcast clouds
220,Plettenberg Bay,ZA,-34.05,23.37,63.07,89,1,3.29,clear sky
221,Geraldton,AU,-28.77,114.6,51.8,87,0,6.93,clear sky
222,Rio Grande,BR,-32.03,-52.1,70.0,87,48,1.99,scattered clouds
223,Grand Gaube,MU,-20.01,57.66,69.01,87,39,3.0,moderate rain
224,Blythe,US,33.61,-114.6,86.0,39,1,9.17,clear sky
225,Tsumeb,NA,-19.23,17.72,75.61,19,40,9.44,scattered clouds
226,Kumylzhenskaya,RU,49.88,42.59,55.99,83,100,1.99,light rain
227,Shenxian,CN,36.24,115.67,51.85,44,85,9.06,overcast clouds
228,Kirakira,SB,-10.45,161.92,82.29,77,1,6.91,clear sky
229,Poya,NC,-21.35,165.15,78.01,70,64,5.5,broken clouds
230,Megion,RU,61.03,76.11,23.0,85,90,6.71,overcast clouds
231,Khatanga,RU,71.97,102.5,6.93,95,100,15.21,light snow
232,Portland,US,45.52,-122.68,51.01,57,90,20.8,overcast clouds
233,Bengkulu,ID,-3.8,102.27,76.28,85,100,4.34,light rain
234,Arequipa,PE,-16.4,-71.53,68.0,22,0,10.29,clear sky
235,Ahome,MX,25.92,-109.18,87.8,48,5,14.99,clear sky
236,Severo-Kurilsk,RU,50.68,156.12,46.94,91,100,29.19,moderate rain
237,Kemijarvi,FI,66.71,27.43,28.11,98,81,4.59,broken clouds
238,Katsuura,JP,35.13,140.3,57.2,50,40,16.11,scattered clouds
239,Roswell,US,34.02,-84.36,71.01,88,90,6.93,thunderstorm
240,Sovetskoye,RU,52.29,85.41,25.72,89,0,7.11,clear sky
241,Brewster,US,41.4,-73.62,57.99,72,89,9.22,overcast clouds
242,Praia Da Vitoria,PT,38.73,-27.07,66.2,93,75,11.83,broken clouds
243,Ciudad Bolivar,VE,8.12,-63.55,87.55,62,82,6.24,light rain
244,Itoman,JP,26.12,127.67,71.6,64,40,9.17,scattered clouds
245,Tabas,IR,33.6,56.92,59.0,24,0,2.24,clear sky
246,Simao,CN,22.79,100.97,58.06,76,94,1.19,overcast clouds
247,Bacolod,PH,10.67,122.95,76.86,85,95,5.23,moderate rain
248,Frankfort,ZA,-27.27,28.48,65.8,48,0,4.85,clear sky
249,Cockburn Town,TC,21.46,-71.14,86.0,70,40,11.41,scattered clouds
250,Beringovskiy,RU,63.05,179.32,30.69,96,100,15.37,overcast clouds
251,Lyubim,RU,58.36,40.68,32.54,96,1,3.58,clear sky
252,Areia Branca,BR,-4.96,-37.14,81.32,74,14,22.15,few clouds
253,Great Falls,US,47.5,-111.3,15.01,78,90,14.99,overcast clouds
254,Raga,SS,8.46,25.68,74.34,82,74,2.59,broken clouds
255,Hilo,US,19.73,-155.09,86.0,66,75,12.75,broken clouds
256,Koraput,IN,18.82,82.72,65.12,70,99,2.37,overcast clouds
257,Opotiki,NZ,-38.08,177.28,64.99,81,96,1.99,overcast clouds
258,Luderitz,NA,-26.65,15.16,60.21,78,7,16.64,clear sky
259,Limulunga,ZM,-15.1,23.14,76.86,19,84,7.27,broken clouds
260,San Andres,CO,12.58,-81.7,84.2,83,75,4.7,broken clouds
261,Meulaboh,ID,4.14,96.13,73.89,95,100,6.31,heavy intensity rain
262,Derzhavinsk,KZ,51.1,66.32,37.54,87,100,27.16,light rain
263,Nanortalik,GL,60.14,-45.24,32.4,91,5,9.24,clear sky
264,Miranda,CO,3.25,-76.23,82.4,61,40,11.41,scattered clouds
265,Cabra,ES,37.47,-4.44,55.99,81,0,2.93,clear sky
266,Bubaque,GW,11.28,-15.83,83.14,80,31,11.41,scattered clouds
267,Broken Hill,AU,-31.95,141.43,46.4,81,90,13.87,overcast clouds
268,Vigrestad,NO,58.57,5.7,52.0,95,100,5.99,moderate rain
269,Puri,IN,19.8,85.85,77.0,100,40,5.73,mist
270,Carutapera,BR,-1.2,-46.02,79.66,77,11,7.11,few clouds
271,Vila Franca Do Campo,PT,37.72,-25.43,68.0,82,75,17.22,broken clouds
272,Burla,IN,21.5,83.87,71.94,67,23,3.27,few clouds
273,Sarangani,PH,5.4,125.46,80.92,83,100,24.81,moderate rain
274,Rawson,AR,-43.3,-65.1,64.69,50,57,17.02,broken clouds
275,Atar,MR,20.52,-13.05,90.05,21,100,9.15,overcast clouds
276,Alugan,PH,12.22,125.48,78.49,89,100,11.88,heavy intensity rain
277,Gorele,TR,41.03,39.0,60.8,67,0,4.7,clear sky
278,Dire,ML,12.28,-10.97,78.85,43,0,2.39,clear sky
279,Harnosand,SE,62.63,17.94,34.0,92,54,4.7,broken clouds
280,Krasnoarmeysk,RU,51.02,45.7,52.0,78,100,1.99,overcast clouds
281,Shubarshi,KZ,48.59,57.19,48.15,58,68,15.95,broken clouds
282,Pauini,BR,-7.71,-66.98,90.54,51,86,1.68,overcast clouds
283,Codrington,AU,-38.27,141.97,47.16,69,51,16.62,broken clouds
284,Norman Wells,CA,65.28,-126.83,21.2,92,75,9.17,broken clouds
285,Galle,LK,6.04,80.22,78.78,85,74,7.05,light rain
286,Gat,IL,31.61,34.76,78.8,74,40,4.7,scattered clouds
287,Umm Lajj,SA,25.02,37.27,83.23,35,0,8.1,clear sky
288,Mehran,IR,33.12,46.16,59.0,19,0,4.7,clear sky
289,Tukrah,LY,32.53,20.58,69.57,65,0,6.8,clear sky
290,Ekuvukeni,ZA,-28.47,30.16,70.0,43,27,2.51,scattered clouds
291,San Cristobal,VE,7.77,-72.22,87.8,58,40,9.17,scattered clouds
292,Taksimo,RU,56.34,114.88,21.34,93,85,0.87,overcast clouds
293,Czluchow,PL,53.67,17.36,52.0,91,64,1.01,broken clouds
294,Sinnamary,GF,5.38,-52.95,83.17,74,41,12.57,scattered clouds
295,Dudhani,IN,17.37,76.37,75.22,72,17,7.9,few clouds
296,Wolbrom,PL,50.38,19.76,50.0,98,0,2.64,clear sky
297,Sambava,MG,-14.27,50.17,73.06,83,19,11.3,light rain
298,Port Keats,AU,-14.25,129.55,81.54,81,30,7.74,scattered clouds
299,Provideniya,RU,64.38,-173.3,33.82,89,76,15.21,broken clouds
300,Te Anau,NZ,-45.42,167.72,59.52,82,100,10.49,overcast clouds
301,Daru,PG,-9.08,143.21,78.94,86,99,6.73,overcast clouds
302,Kiama,AU,-34.68,150.87,55.0,83,98,5.01,overcast clouds
303,Sakakah,SA,29.97,40.21,68.0,16,0,6.93,clear sky
304,Quelimane,MZ,-17.88,36.89,75.2,83,0,3.36,clear sky
305,Talcahuano,CL,-36.72,-73.12,57.2,82,75,2.24,broken clouds
306,Tazovskiy,RU,67.47,78.7,14.92,97,95,7.43,overcast clouds
307,Turukhansk,RU,65.82,87.98,8.62,95,100,5.5,overcast clouds
308,Gueugnon,FR,46.6,4.06,48.99,100,0,2.24,clear sky
309,Areosa,PT,41.72,-8.86,64.0,93,75,18.34,broken clouds
310,Fengrun,CN,39.83,118.12,46.98,49,100,1.68,overcast clouds
311,Basco,PH,20.45,121.97,78.98,84,100,31.56,light rain
312,Bandipur,NP,27.93,84.42,58.15,77,0,2.24,clear sky
313,Impfondo,CG,1.64,18.07,72.21,97,100,3.27,overcast clouds
314,Beloha,MG,-25.17,45.05,68.63,84,100,4.09,overcast clouds
315,Anshun,CN,26.25,105.93,51.53,81,8,2.21,clear sky
316,Port Hardy,CA,50.7,-127.42,46.4,39,20,17.22,few clouds
317,Ngemplak,ID,-7.55,110.72,75.99,88,100,3.33,overcast clouds
318,Tabou,CI,4.42,-7.35,78.12,85,44,5.61,scattered clouds
319,Inongo,CD,-1.95,18.27,72.5,95,100,3.89,overcast clouds
320,Bogalusa,US,30.79,-89.85,73.4,73,90,9.17,overcast clouds
321,Naze,JP,28.37,129.48,69.8,60,75,14.99,broken clouds
322,Laguna,US,38.42,-121.42,73.0,43,1,6.93,clear sky
323,Whitehorse,CA,60.72,-135.05,19.4,73,75,14.99,broken clouds
324,Regina,CA,50.45,-104.62,21.99,57,90,12.75,overcast clouds
325,Haimen,CN,23.19,116.61,66.2,82,0,2.24,clear sky
326,Humberto De Campos,BR,-2.6,-43.46,80.98,73,19,7.81,few clouds
327,Diffa,NE,13.32,12.61,83.55,22,86,9.33,overcast clouds
328,Bogo,PH,11.05,124.01,79.63,80,90,9.22,heavy intensity rain
329,Ormara,PK,25.21,64.64,78.21,27,0,20.85,clear sky
330,Marsh Harbour,BS,26.54,-77.06,80.38,79,94,12.57,moderate rain
331,Bantogon,PH,6.53,124.03,74.79,88,100,9.46,light rain
332,Kanalia,GR,39.5,22.88,57.2,71,0,4.7,light rain
333,Vostok,RU,46.49,135.88,27.77,100,100,4.74,light snow
334,Guerrero Negro,MX,27.98,-114.06,73.22,62,19,17.07,few clouds
335,Sibay,RU,52.72,58.67,43.68,91,69,8.84,broken clouds
336,Dingle,PH,11.0,122.67,74.14,89,92,2.15,moderate rain
337,Mlimba,TZ,-8.8,35.82,78.94,57,0,2.48,clear sky
338,Coahuayana,MX,18.73,-103.68,84.2,74,5,6.13,clear sky
339,Tiarei,PF,-17.53,-149.33,84.2,70,75,6.93,broken clouds
340,Trinidad,BO,-14.83,-64.9,96.8,44,20,11.41,few clouds
341,Eucaliptus,BO,-17.58,-67.52,65.12,24,81,7.02,broken clouds
342,Yenagoa,NG,4.92,6.26,75.97,92,64,3.69,broken clouds
343,Northallerton,GB,54.34,-1.43,46.4,93,100,5.82,overcast clouds
344,Seydisehir,TR,37.42,31.85,56.82,38,1,2.62,clear sky
345,Kenai,US,60.55,-151.26,44.6,73,90,14.99,overcast clouds
346,Colares,PT,38.8,-9.45,63.0,82,40,9.17,scattered clouds
347,Wamba,NG,8.93,8.6,76.23,71,92,1.88,overcast clouds
348,Rotifunk,SL,8.23,-12.68,76.03,93,100,2.89,overcast clouds
349,Stromness,GB,58.97,-3.3,46.4,81,1,14.99,clear sky
350,Thai Nguyen,VN,21.59,105.84,68.0,72,73,4.7,broken clouds
351,Kazachinskoye,RU,57.7,93.28,28.02,94,38,6.22,scattered clouds
352,Izumo,JP,35.37,132.77,42.8,100,20,4.7,few clouds
353,Kuching,MY,1.55,110.33,75.2,94,20,1.12,few clouds
354,Linhares,BR,-19.39,-40.07,72.39,95,100,5.73,light rain
355,Teguldet,RU,57.31,88.17,25.54,95,63,7.81,broken clouds
356,Saint-Augustin,CA,51.23,-58.65,45.95,82,100,15.39,overcast clouds
357,Ossora,RU,59.24,163.07,37.36,79,100,4.81,overcast clouds
358,Likhoslavl,RU,57.13,35.46,37.99,93,45,2.66,scattered clouds
359,Paonta Sahib,IN,30.45,77.62,66.33,42,0,5.5,clear sky
360,Namatanai,PG,-3.67,152.43,81.1,77,24,2.48,moderate rain
361,Bathsheba,BB,13.22,-59.52,84.2,70,40,20.8,shower rain
362,Zyryanka,RU,65.75,150.85,13.33,94,0,7.72,clear sky
363,Anchorage,US,61.22,-149.9,37.99,47,90,5.82,very heavy rain
364,Liverpool,GB,53.41,-2.98,48.2,87,20,11.41,moderate rain
365,Pervomayskoye,RU,43.92,46.71,56.82,64,0,3.38,clear sky
366,Linjiang,CN,41.81,126.91,30.83,90,0,1.57,clear sky
367,Calabar,NG,4.95,8.32,75.47,91,93,1.83,light rain
368,Clyde River,CA,70.47,-68.59,19.4,73,90,4.7,overcast clouds
369,Baker City,US,44.77,-117.83,37.0,70,30,13.0,scattered clouds
370,Mirabad,AF,30.44,61.84,55.94,37,0,16.26,clear sky
371,Parana,AR,-31.73,-60.52,86.0,53,28,4.0,light rain
372,Gao,ML,16.64,1.64,84.6,13,0,11.36,clear sky
373,Blackwater,AU,-23.58,148.88,73.85,76,97,11.45,moderate rain
374,Hatillo,PR,18.49,-66.83,88.0,66,75,11.41,broken clouds
