City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Aswan,EG,76.6,clear sky,24.09,32.91,Nuba Nile
416,Kribi,CM,78.26,overcast clouds,2.95,9.92,Les Vagues bleues
418,Luanda,AO,77.0,scattered clouds,-8.84,13.23,EPIC SANA Luanda
435,Pokhara,NP,65.48,clear sky,28.23,83.98,Hotel View Point
439,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
440,Jalu,LY,66.92,clear sky,29.03,21.55,Jalu Hotel
443,Innisfail,AU,74.62,broken clouds,-17.53,146.03,Moondarra Motel
444,Chandur Bazar,IN,72.73,scattered clouds,21.24,77.75,Swami samrth restaurant
445,Naliya,IN,78.66,scattered clouds,23.27,68.83,Hotel Panchvati
452,Calvinia,ZA,66.45,clear sky,-31.47,19.78,Die Lemoenhuis
456,Kumluca,TR,78.78,clear sky,36.37,30.29,TurkuazKöy
460,Mayo,US,72.0,overcast clouds,38.89,-76.51,Resorts Resource Group International
461,Cap Malheureux,MU,69.01,moderate rain,-19.98,57.61,Pereybere Hotel & Spa
468,Dunda,TZ,72.86,few clouds,-8.12,34.25,
469,Ovalle,CL,71.85,clear sky,-30.6,-71.2,Hotel Altos de Tuqui
470,Kalabo,ZM,75.04,broken clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
477,Sunel,IN,72.34,scattered clouds,24.37,75.97,Retorent
479,Luena,AO,70.45,overcast clouds,-11.78,19.92,Hotel Kandamba
481,Hurricane,US,78.01,clear sky,37.18,-113.29,Super 8 by Wyndham Hurricane Zion National Park
482,Reinosa,ES,68.0,overcast clouds,43.0,-4.14,Hotel Vejo
487,Babai,IN,70.27,clear sky,22.7,77.93,G loading service babai
493,Mount Pleasant,US,78.01,clear sky,32.79,-79.86,Best Western Patriots Point
494,Gemena,CD,71.29,overcast clouds,3.25,19.77,Hôtel Goshen
495,Passo Fundo,BR,68.27,moderate rain,-28.26,-52.41,Maitá Palace Hotel
497,Maputo,MZ,73.99,few clouds,-25.97,32.59,Pestana Rovuma
501,Akyab,MM,78.73,light rain,20.15,92.9,Hotel Memory
507,Ahipara,NZ,65.62,few clouds,-35.17,173.17,Ahipara Holiday Park
509,Quatre Cocos,MU,71.6,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
511,Cocal,BR,73.27,light rain,-28.62,-49.35,Motel Tropical
513,Indramayu,ID,78.82,light rain,-6.33,108.32,Grand Trisula Hotel
514,Eyl,SO,79.92,scattered clouds,7.98,49.82,Amiin Hotel
517,Palu,ID,75.85,overcast clouds,-0.89,119.87,Hotel Santika Palu
521,Benguela,AO,75.54,scattered clouds,-12.58,13.41,Hotel Praia Morena
525,Santa Barbara,US,66.99,scattered clouds,34.73,-120.03,Upper Ballard Campground
529,Kambove,CD,71.53,scattered clouds,-10.88,26.6,Couvant des soeurs catholiques
531,Inhambane,MZ,71.38,overcast clouds,-23.86,35.38,Oceano
532,Caravelas,BR,75.42,heavy intensity rain,-17.71,-39.25,Pousada dos Navegantes
534,Kasongo,CD,72.12,scattered clouds,-4.45,26.67,Guest Hôtel
540,Barranca,PE,66.81,broken clouds,-10.75,-77.77,El Olivar Hospedaje
545,Sibolga,ID,76.96,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
546,Ambilobe,MG,73.36,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
547,Mathbaria,BD,73.51,overcast clouds,22.29,89.96,বাহাদুরের চায়ের ষ্টোর
548,Peruibe,BR,72.12,light rain,-24.32,-47.0,Hotel Pousada Xapuri
550,Natal,BR,78.8,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
553,Champerico,GT,77.0,thunderstorm,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
554,Tiznit,MA,67.14,clear sky,29.58,-9.5,
557,Samarai,PG,79.77,broken clouds,-10.62,150.67,Nuli Sapi
564,Merauke,ID,77.86,broken clouds,-8.47,140.33,
568,Palmdale,US,73.4,clear sky,34.58,-118.12,Courtyard by Marriott Palmdale
570,Padong,PH,77.0,moderate rain,18.05,120.76,Stone House Hostel - Medardus
576,Half Moon Bay,US,68.0,broken clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
577,Gijon,ES,68.0,scattered clouds,43.54,-5.66,Hotel Norte
581,Matadi,CD,77.94,overcast clouds,-5.82,13.45,Hotel Fortune
582,Soyo,AO,77.29,broken clouds,-6.13,12.37,Hotel Mpampa
584,Cabinda,AO,77.13,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
588,Paita,PE,66.7,few clouds,-5.09,-81.11,Hotel Náutico de Paita
590,Junnar,IN,72.16,few clouds,19.2,73.88,Hotel Anand
593,Christchurch,NZ,71.6,broken clouds,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
594,Denpasar,ID,77.95,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
600,Banjar,ID,77.4,broken clouds,-8.19,114.97,The Hamsa Resort
601,Pisco,PE,66.2,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
602,Aitape,PG,78.64,light rain,-3.14,142.35,
609,Bata,GQ,78.31,light rain,1.86,9.77,Hotel Carmen
610,Dawson,US,75.2,moderate rain,31.77,-84.45,Country Hearth Inn & Suites Dawson
612,Rangapara,IN,70.93,light rain,26.82,92.65,Bidhan
615,Namwala,ZM,74.91,broken clouds,-15.75,26.44,Corner Point Lodge
616,Praia,CV,78.8,overcast clouds,14.92,-23.51,LT Aparthotel
619,Lekoni,GA,74.17,overcast clouds,-1.58,14.26,Rendez-vous Des ChasseursD
620,Cao Bang,VN,65.46,overcast clouds,22.67,106.25,khách sạn 88
634,Alta Floresta,BR,75.76,light rain,-9.88,-56.09,Floresta Amazonica Hotel
635,Vangaindrano,MG,69.17,broken clouds,-23.35,47.6,Hotel Fanilo
637,Port Lavaca,US,75.2,scattered clouds,28.61,-96.63,Holiday Inn Express & Suites Port Lavaca
643,Albertville,US,66.2,moderate rain,34.27,-86.21,Microtel Inn & Suites by Wyndham Albertville
645,Yarada,IN,78.8,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
646,Ponta Delgada,PT,68.0,broken clouds,37.73,-25.67,Vila Nova Hotel
649,Taungdwingyi,MM,72.91,overcast clouds,20.02,95.55,NayNaing MobileService
651,San Quintin,MX,69.76,overcast clouds,30.48,-115.95,Old Mill Hotel
652,Nizwa,OM,67.78,clear sky,22.93,57.53,Orient Apartments
653,Praya,CV,78.8,overcast clouds,14.92,-23.51,LT Aparthotel
655,Allapalli,IN,71.69,clear sky,19.42,80.07,Hotel IK Residency
656,Labuhan,ID,79.52,moderate rain,-6.88,112.21,bador sepret
657,Nouadhibou,MR,71.6,clear sky,20.93,-17.03,El Medina
659,Bandar-E Lengeh,IR,73.4,clear sky,26.56,54.88,کافی نت پارس
662,Mongu,ZM,76.01,overcast clouds,-15.25,23.13,Country Lodge Mongu
666,Borba,BR,74.62,moderate rain,-4.39,-59.59,Hotel da Amazônia
667,Kaeo,NZ,66.99,few clouds,-35.1,173.78,Bushido Lodge
674,Kangaba,ML,79.57,clear sky,11.93,-8.42,Hôtel Mandé
675,Bardiyah,LY,71.13,clear sky,31.76,25.09,بورتو بردية
681,Ambon,ID,77.0,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
683,Umred,IN,71.6,haze,20.85,79.33,Karhandla Farm And Resort
684,Moree,AU,66.2,broken clouds,-29.47,149.85,Molika Springs Motel
685,Pringsewu,ID,75.07,overcast clouds,-5.36,104.97,Urban Style by Front One
687,Abu Dhabi,AE,78.8,clear sky,24.47,54.37,Beach Rotana
